Name,Symbol,Region,Category,Subcategory,High Vol
SPDR S&P Biotech,XBI,US,ETF,Healthcare,FALSE
Eli Lilly,LLY,US,Equities,Healthcare,TRUE
iShares MSCI Chile Capped,ECH,Emerging Markets,ETF,ETF,FALSE
Valmont Industries,VMI,US,Equities,US Industrials,TRUE
Tetra Tech,TTEK.O,US,Equities,US Industrials,FALSE
Thermon,THR,US,Equities,US Industrials,TRUE
Otis Worldwide,OTIS.K,US,Equities,US Industrials,FALSE
Mueller Industries,MLI,US,Equities,US Industrials,FALSE
Lincoln Electrics,LECO.O,US,Equities,US Industrials,FALSE
Gorman-Rupp,GRC,US,Equities,US Industrials,FALSE
Generac,GNRC.K,US,Equities,US Industrials,TRUE
Great Lakes Dredge&Dock,GLDD.O,US,Equities,US Industrials,TRUE
Energy Recovery,ERII.O,US,Equities,US Industrials,TRUE
Cummins,CMI,US,Equities,US Industrials,FALSE
Badger Meter,BMI,US,Equities,US Industrials,FALSE
Astec,ASTE.O,US,Equities,US Industrials,TRUE
iShares MSCI Netherlands,EWN,Developed Markets,ETF,ETF,FALSE
Financial Select Sector SPDR,XLF,US,ETF,Financials,FALSE
Newmont Goldcorp,NEM,US,Equities,Commodity Producers,TRUE
iShares Silver,SLV,Commodities,ETF,Precious Metals,FALSE
Tesla,TSLA.O,US,Equities,US Tech,TRUE
Bank of America,BAC,US,Equities,Financials,FALSE
SPDR Euro Stoxx 50,FEZ,Developed Markets,ETF,ETF,FALSE
Lam Research,LRCX.O,US,Equities,US Tech – Semiconductors,FALSE
KGHM Polska Miedz,KGH.WA,Emerging Markets,Equities,Commodity Producers,FALSE
Albemarle,ALB,US,Equities,Battery Materials,TRUE
IREN Ltd,IREN.O,Developed Markets,Equities,Bitcoin Mining,TRUE
Rocket Lab USA,RKLB.O,US,Equities,US Defense,TRUE
Reliance Nifty Midcap 150,NTFM.NS,India,Equities,Equities,TRUE
Monolithic,MPWR.O,US,Equities,US Tech – Semiconductors,FALSE
Valero Energy,VLO,US,Equities,Energy,TRUE
Aberdeen Standard Physical Palladium Shares,PALL.K,Commodities,ETF,Precious Metals – Palladium,TRUE
iShares U.S. Regional Banks,IAT,US,ETF,ETF,TRUE
iShares MSCI Malaysia,EWM,Emerging Markets,ETF,ETF,TRUE
